,budget,Action,Adventure,Crime,Science Fiction,Thriller,Animation,Fantasy,Family,Drama,Comedy,Mystery,Western,Romance,History,Horror,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,,release_year,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,query,trailer_id,youtube_link,release_date,views 1 month before,likes,dislikes,minutes,seconds,duration
0,245000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",http://www.sonypictures.com/movies/spectre/,206647,"[{""id"": 470, ""name"": ""spy""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 14555, ""name"": ""mi6""}, {""id"": 156095, ""name"": ""british secret service""}, {""id"": 158431, ""name"": ""united kingdom""}]",en,Spectre,"A cryptic message from Bond‚Äôs past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,880674609,148,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",A Plan No One Escapes,Spectre,6.3,4466,Spectre 2015 trailer,ujmoYyEyDP8,https://www.youtube.com/watch?v=ujmoYyEyDP8,10/26/2015,3438939,2495,74,2,40,160
1,280000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,"[{""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10629, ""name"": ""vision""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}, {""id"": 209714, ""name"": ""3d""}]",en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth‚Äôs Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,1405403694,141,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,Avengers: Age of Ultron 2015 trailer,tmeOjFno6Do,https://www.youtube.com/watch?v=tmeOjFno6Do,4/22/2015,69798685,487309,9360,2,16,136
2,150000000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.jurassicworld.com/,135397,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 1718, ""name"": ""dna""}, {""id"": 1720, ""name"": ""tyrannosaurus rex""}, {""id"": 1766, ""name"": ""velociraptor""}, {""id"": 2041, ""name"": ""island""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 155582, ""name"": ""amusement park""}, {""id"": 158130, ""name"": ""animal attack""}, {""id"": 158340, ""name"": ""theme park""}, {""id"": 178010, ""name"": ""jurassic park""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 223059, ""name"": ""animal horror""}]",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,1513528810,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The park is open.,Jurassic World,6.5,8662,Jurassic World 2015 trailer,RFinNxS5KN4,https://www.youtube.com/watch?v=RFinNxS5KN4,6/9/2015,58707855,238720,11764,2,40,160
3,190000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{""id"": 28, ""name"": ""Action""}]",http://www.furious7.com/,168259,"[{""id"": 830, ""name"": ""car race""}, {""id"": 3428, ""name"": ""speed""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 33885, ""name"": ""car""}, {""id"": 40870, ""name"": ""race""}, {""id"": 205399, ""name"": ""muscle car""}]",en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,102.322217,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""China Film Co."", ""id"": 40890}, {""name"": ""Qu\u00e9bec Production Services Tax Credit"", ""id"": 86352}, {""name"": ""Media Rights Capital (MRC)"", ""id"": 86655}, {""name"": ""Abu Dhabi Film Commission"", ""id"": 87857}, {""name"": ""Colorado Office of Film, Television & Media"", ""id"": 87858}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,1506249360,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Vengeance Hits Home,Furious 7,7.3,4176,Furious 7 2015 trailer,Skpu5HaVkOc,https://www.youtube.com/watch?v=Skpu5HaVkOc,4/1/2015,44833403,254058,7116,2,42,162
4,175000000,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://movies.disney.com/the-good-dinosaur,105864,"[{""id"": 1720, ""name"": ""tyrannosaurus rex""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 12026, ""name"": ""alternate history""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 13073, ""name"": ""fear""}, {""id"": 14527, ""name"": ""storm""}, {""id"": 18330, ""name"": ""nature""}, {""id"": 187864, ""name"": ""human""}, {""id"": 189092, ""name"": ""journey""}]",en,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,51.692953,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,331926147,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Little Arms With Big Attitude,The Good Dinosaur,6.6,1736,The Good Dinosaur 2015 trailer,O-RgquKVTPE,https://www.youtube.com/watch?v=O-RgquKVTPE,11/14/2015,8869437,29004,1739,2,26,146
5,176000003,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.jupiterascending.com,76757,"[{""id"": 306, ""name"": ""jupiter""}, {""id"": 9882, ""name"": ""space""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 212760, ""name"": ""interspecies romance""}]",en,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty‚Ä¶",85.36908,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,183987723,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Expand your universe.,Jupiter Ascending,5.2,2768,Jupiter Ascending 2015 trailer,t4ZzMkDLjWI,https://www.youtube.com/watch?v=t4ZzMkDLjWI,2/4/2015,740362,3234,133,2,32,152
6,175000000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://movies.disney.com/inside-out,150540,"[{""id"": 1566, ""name"": ""dream""}, {""id"": 6513, ""name"": ""cartoon""}, {""id"": 7942, ""name"": ""imaginary friend""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 18035, ""name"": ""family""}, {""id"": 18253, ""name"": ""moving""}, {""id"": 161155, ""name"": ""kids""}, {""id"": 163227, ""name"": ""unicorn""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 211269, ""name"": ""emotions""}]",en,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",128.655964,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,857611174,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Meet the little voices inside your head.,Inside Out,8,6560,Inside Out 2015 trailer,yRUAzGQ3nSY,https://www.youtube.com/watch?v=yRUAzGQ3nSY,6/9/2015,2488031,6476,238,2,25,145
7,190000000,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://movies.disney.com/tomorrowland,158852,"[{""id"": 1436, ""name"": ""inventor""}, {""id"": 12332, ""name"": ""apocalypse""}, {""id"": 40850, ""name"": ""destiny""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 173276, ""name"": ""dreamer""}, {""id"": 214714, ""name"": ""futuristic car""}, {""id"": 214715, ""name"": ""futuristic city""}]",en,Tomorrowland,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",130.311355,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Babieka"", ""id"": 20656}, {""name"": ""A113"", ""id"": 59778}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,209154322,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846,Tomorrowland 2015 trailer,lWZ7O-RrATY,https://www.youtube.com/watch?v=lWZ7O-RrATY,5/19/2015,2219750,13746,328,2,23,143
8,160000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.thehungergames.movie/,131634,"[{""id"": 2020, ""name"": ""revolution""}, {""id"": 2660, ""name"": ""strong woman""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 157376, ""name"": ""game of death""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 223438, ""name"": ""based on young adult novel""}]",en,The Hunger Games: Mockingjay - Part 2,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends ‚Äì including Gale, Finnick, and Peeta ‚Äì Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",127.284427,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,653428261,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984,The Hunger Games: Mockingjay - Part 2 2015 trailer,n-7K_OjsDCQ,https://www.youtube.com/watch?v=n-7K_OjsDCQ,11/18/2015,14438680,115062,3220,2,34,154
9,155000000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.terminatormovie.com/,87101,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 1373, ""name"": ""killer robot""}, {""id"": 2964, ""name"": ""future""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 161151, ""name"": ""fiction""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209714, ""name"": ""3d""}]",en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",202.042635,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Annapurna Pictures"", ""id"": 13184}, {""name"": ""Skydance Media"", ""id"": 82819}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",,2015,440603537,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Reset the future,Terminator Genisys,5.8,3631,Terminator Genisys 2015 trailer,FqbOFjl7ZWE,https://www.youtube.com/watch?v=FqbOFjl7ZWE,6/23/2015,8900873,30426,1956,2,31,151
